1744.46	256.862
1694.46	256.891
1644.46	256.863
1594.46	256.779
1544.46	256.753
1494.46	256.693
1444.46	256.553
1394.46	256.588
1344.46	256.442
1294.46	256.479
1244.46	256.424
1194.46	256.248
1144.46	256.28
1094.46	256.224
1044.46	256.163
994.463	256.094
944.463	256.061
894.464	255.856
844.463	255.89
794.463	255.774
744.464	255.589
719.464	255.401
694.463	255.428
669.463	255.303
644.463	255.121
619.464	254.839
594.463	254.734
569.463	254.409
544.462	254.192
519.462	253.81
494.462	253.35
469.462	252.773
444.462	252.114
424.462	251.454
404.462	250.698
384.462	249.768
364.462	248.724
344.462	247.494
324.462	246.055
304.461	244.355
284.461	242.4
264.46	240.035
244.46	237.24
234.459	235.651
224.459	233.879
214.459	231.994
204.458	229.94
194.457	227.728
184.456	225.327
174.455	222.687
164.453	219.929
154.45	216.859
144.45	213.386
134.447	209.738
124.446	205.729
114.444	201.478
104.442	196.717
94.4392	191.762
84.4353	186.477
74.4293	180.985
64.4222	175.275
54.4185	169.039
44.4173	161.713
34.4342	148.275
24.4058	128.432
