-45.01	-45.01	-45.01		-0.0073928	-0.0141228	-0.0204243	
-40.01	-40.01	-40.01		-0.0136867	-0.025806	-0.0370561	
-35.01	-35.01	-35.01		-0.0246766	-0.0459502	-0.0656516	
-30.01	-30.01	-30.01		-0.0431625	-0.0796067	-0.113463	
-25.01	-25.01	-25.01		-0.0731809	-0.134176	-0.190955	
-20.01	-20.01	-20.01		-0.120623	-0.220216	-0.312973	
-15.01	-15.01	-15.01		-0.194298	-0.354006	-0.504546	
-10.01	-10.01	-10.01		-0.306573	-0.56111	-0.801398	
-5.01	-5.01	-5.01		-0.469624	-0.864377	-1.23677	
0.01	0.01	0.01		-0.676156	-1.25255	-1.79484	
5.01	5.01	5.01		-0.876145	-1.63339	-2.34253	
10.01	10.01	10.01		-1.00312	-1.88164	-2.69804	
15.01	15.01	15.01		-1.02714	-1.9357	-2.77768	
20.01	20.01	20.01		-0.968242	-1.83117	-2.63315	
25.01	25.01	25.01		-0.864159	-1.63889	-2.36053	
30.01	30.01	30.01		-0.743246	-1.41247	-2.03842	
35.01	35.01	35.01		-0.622495	-1.18485	-1.71312	
40.01	40.01	40.01		-0.51074	-0.973327	-1.40948	
45.01	45.01	45.01		-0.412044	-0.78603	-1.13967	
50.01	50.01	50.01		-0.327746	-0.625665	-0.908075	
55.01	55.01	55.01		-0.257555	-0.491822	-0.714428	
60.01	60.01	60.01		-0.200031	-0.382416	-0.55584	
65.01	65.01	65.01		-0.153448	-0.294525	-0.428176	
70.01	70.01	70.01		-0.116237	-0.224748	-0.326912	
75.01	75.01	75.01		-0.0867876	-0.169683	-0.247585	
79.99	79.99	79.99		-0.0637161	-0.126729	-0.18589	
