-45.01	-45.01	-45.01		-0.0553553	-0.0552382	-0.0548699	
-40.01	-40.01	-40.01		-0.129655	-0.129494	-0.128579	
-35.01	-35.01	-35.01		-0.297192	-0.297366	-0.295205	
-30.01	-30.01	-30.01		-0.657416	-0.659765	-0.654843	
-25.01	-25.01	-25.01		-1.37125	-1.38046	-1.36878	
-20.01	-20.01	-20.01		-2.5749	-2.5932	-2.56219	
-15.01	-15.01	-15.01		-4.08254	-4.09225	-4.02154	
-10.01	-10.01	-10.01		-5.30442	-5.2891	-5.18916	
-5.01	-5.01	-5.01		-5.89068	-5.86491	-5.76214	
0.01	0.01	0.01		-5.97713	-5.94987	-5.8533	
5.01	5.01	5.01		-5.80222	-5.77247	-5.68291	
10.01	10.01	10.01		-5.51512	-5.48199	-5.39954	
15.01	15.01	15.01		-5.1838	-5.14779	-5.07276	
20.01	20.01	20.01		-4.83573	-4.79833	-4.7319	
25.01	25.01	25.01		-4.48178	-4.44484	-4.38903	
30.01	30.01	30.01		-4.12672	-4.09269	-4.04745	
35.01	35.01	35.01		-3.77246	-3.74435	-3.71152	
40.01	40.01	40.01		-3.42058	-3.40074	-3.3805	
45.01	45.01	45.01		-3.07235	-3.06311	-3.05629	
50.01	50.01	50.01		-2.72896	-2.73276	-2.73937	
55.01	55.01	55.01		-2.39146	-2.41048	-2.42973	
60.01	60.01	60.01		-2.06155	-2.09654	-2.12799	
65.01	65.01	65.01		-1.7401	-1.79164	-1.83479	
70.01	70.01	70.01		-1.42926	-1.49758	-1.55079	
75.01	75.01	75.01		-1.13204	-1.21487	-1.27683	
79.99	79.99	79.99		-0.854602	-0.948744	-1.0164	
