1770.54	250.325
1720.54	249.77
1670.54	249.201
1620.54	248.603
1570.54	247.972
1520.54	247.297
1470.54	246.571
1420.54	245.821
1370.54	245.018
1320.54	244.179
1270.54	243.275
1220.54	242.302
1170.54	241.277
1120.54	240.192
1070.54	239.004
1020.54	237.734
970.539	236.363
920.539	234.864
870.539	233.232
820.538	231.423
770.538	229.404
745.537	228.307
720.537	227.131
695.537	225.894
670.537	224.559
645.536	223.127
620.536	221.592
595.536	219.935
570.536	218.133
545.535	216.168
520.535	214.026
495.535	211.677
470.534	209.1
450.534	206.848
430.534	204.406
410.533	201.74
390.533	198.819
370.533	195.646
350.533	192.173
330.532	188.382
310.532	184.187
290.532	179.609
270.531	174.567
260.531	171.874
250.531	169.052
240.531	166.122
230.531	163.058
220.531	159.864
210.53	156.568
200.53	153.141
190.53	149.617
180.53	145.996
170.53	142.301
160.529	138.54
150.529	134.741
140.529	130.919
130.529	127.112
120.529	123.321
110.528	119.588
100.528	115.922
90.5279	112.355
80.5277	108.886
70.5275	105.549
60.5274	102.332
50.5273	99.2476
40.5272	96.2897
30.5264	93.4252
20.5217	90.5777
