-45.01	-45.01	-45.01		-3.21801e-06	-3.21736e-06	-3.217e-06	
-40.01	-40.01	-40.01		-0.000508058	-0.000507824	-0.000507697	
-35.01	-35.01	-35.01		-0.000602761	-0.000602422	-0.000602241	
-30.01	-30.01	-30.01		-0.00291712	-0.00291661	-0.00291632	
-25.01	-25.01	-25.01		-0.0162872	-0.0162835	-0.0162814	
-20.01	-20.01	-20.01		-0.127549	-0.127525	-0.127512	
-15.01	-15.01	-15.01		-1.26036	-1.26018	-1.26008	
-10.01	-10.01	-10.01		-3.29309	-3.29262	-3.29245	
-5.01	-5.01	-5.01		-4.6842	-4.68363	-4.68331	
0.01	0.01	0.01		-5.79035	-5.78993	-5.78969	
5.01	5.01	5.01		-6.54908	-6.54876	-6.54857	
10.01	10.01	10.01		-6.87536	-6.87511	-6.87497	
15.01	15.01	15.01		-6.81804	-6.81784	-6.81773	
20.01	20.01	20.01		-6.46874	-6.46856	-6.46846	
25.01	25.01	25.01		-5.8872	-5.88712	-5.88707	
30.01	30.01	30.01		-5.19681	-5.19674	-5.19671	
35.01	35.01	35.01		-4.45953	-4.45948	-4.45945	
40.01	40.01	40.01		-3.69616	-3.69611	-3.69609	
45.01	45.01	45.01		-2.91525	-2.91522	-2.9152	
50.01	50.01	50.01		-2.1207	-2.12068	-2.12066	
55.01	55.01	55.01		-1.31389	-1.31387	-1.31386	
60.01	60.01	60.01		-0.49525	-0.495243	-0.49524	
65.01	65.01	65.01		0.000229916	0.000229916	0.000229915	
70.01	70.01	70.01		0.000805981	0.000805981	0.00080598	
75.01	75.01	75.01		0.0013852	0.0013852	0.0013852	
79.99	79.99	79.99		0.00196334	0.00196334	0.00196334	
